KEY_INDEX,CDL_FLAG,CONDITION_CODE,EQUIP_PROB_CODE,FAULT_FLAG,INJ_SEVER_CODE,PERSON_ID,PERSON_TYPE,REPORT_NO,SAF_EQUIP_CODE,SEX_CODE,VEHICLE_ID,COLLISION_TYPE_CODE,C_M_ZONE_FLAG,JUNCTION_CODE,LANE_CODE,LIGHT_CODE,RD_COND_CODE,RD_DIV_CODE,SURF_COND_CODE,WEATHER_CODE,AREA_DAMAGED_CODE_MAIN,BODY_TYPE_CODE,DAMAGE_CODE,HIT_AND_RUN_FLAG,MOVEMENT_CODE,TIME,AGE,LATITUDE,LONGITUDE,cluster,second_label,first_label,second_labeling
452,N,Apparently Normal,No Misuse,N,No Injury,f092bc99-c4f3-403d-8a34-062e48afc3ae,D,ADF819000J,Shoulder/Lap Belt(s),M,a080994c-50c6-4835-9288-6c9efde498e8,Same Movement Angle,N,Intersection,Right Turn Lane,Daylight,"Holes, Ruts, Etc.","Two-way, Not Divided",Ice,Wintry Mix,Seven o'clock,Police Vehicle/Non Emergency,Functional,N,Moving Constant Speed,2015.3.1 13:17,47,39.27321992,-76.65903568,0,0,눈길사고,감속 중 사고
480,N,Apparently Normal,No Misuse,Y,No Injury,8a4a13e4-b1d9-4289-af98-ee284c6132eb,D,ADG9470001,Shoulder/Lap Belt(s),F,62eea792-80cc-4506-a893-fcd07b8a69b5,Single Vehicle ,N,Non Intersection,Left Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Ice,Cloudy,Ten o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.1.10 19:40,29,39.29572028,-76.57996953,0,0,눈길사고,감속 중 사고
506,N,Apparently Normal,No Misuse,N,No Injury,98aab0cf-ea55-4210-8e39-84c7983b7237,D,ADH5520003,Shoulder/Lap Belt(s),F,98009919-8e8e-4758-bf3c-39dd2cc92ffe,Same Movement Angle,N,Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Slush,Snow,Four o'clock,Passenger Car,Functional,N,Accelerating,2015.1.21 17:35,49,39.33774945,-76.70042753,0,2,눈길사고,미끌어짐에 의한 사고
508,N,Apparently Normal,No Misuse,Y,No Injury,e46f1d0e-a258-4c1b-9e25-7b10254aaf0b,D,ADH5650004,Shoulder/Lap Belt(s),F,11f25031-8281-4d02-a214-371dff6d4874,Single Vehicle ,N,Non Intersection,Right Turn Lane,Dusk,No Defects,"Two-way, Not Divided",Ice,Sleet,Two o'clock,Passenger Car,Superficial,N,Moving Constant Speed,2015.2.10 6:15,56,39.29143169,-76.58470631,0,0,눈길사고,감속 중 사고
514,N,Apparently Normal,No Misuse,Y,No Injury,3005f593-dd53-4adc-85b4-7f1c1d280fcd,D,ADH6080002,Shoulder/Lap Belt(s),F,650a411d-e371-4910-87db-3f587218f515,Same Movement Angle,N,Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Twelve o'clock,Passenger Car,Functional,N,Accelerating,2015.1.21 16:30,35,39.28331048,-76.59820318,0,2,눈길사고,미끌어짐에 의한 사고
515,N,Apparently Normal,No Misuse,N,No Injury,521849b8-e2d4-42b8-9788-2b1222ab33fe,D,ADH6080002,Shoulder/Lap Belt(s),M,8dbd91e4-2713-4eb7-8e5b-2933518a8169,Same Movement Angle,N,Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Snow,Snow,Eleven o'clock,Passenger Car,Disabling,N,Accelerating,2015.1.21 16:30,30,39.28331048,-76.59820318,0,2,눈길사고,미끌어짐에 의한 사고
544,N,Apparently Normal,No Misuse,Y,No Injury,99c4bd9b-cff5-48b7-b9b1-0fc2fc5d0739,D,ADI0480004,Shoulder Belt Only,F,d963181e-5415-47e9-b74d-d2857527d0cc,Same Direction Sideswipe,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Ice,Wintry Mix,Seven o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.1.18 8:00,27,39.28523707,-76.69463396,0,0,눈길사고,감속 중 사고
550,N,Apparently Normal,No Misuse,N,No Injury,c825370a-440d-41d1-85ae-af98377903a1,D,ADI0640002,Shoulder/Lap Belt(s),F,9fb277c0-1291-467d-8475-5827d109d343,Same Movement Angle,N,Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Snow,Snow,Twelve o'clock,Passenger Car,Superficial,N,Stopped in Traffic Lane,2015.2.16 18:00,29,39.30891651,-76.70819521,0,2,눈길사고,미끌어짐에 의한 사고
590,N,Apparently Normal,No Misuse,Y,No Injury,d7520c03-feb1-4008-bd53-1b52c01fe941,D,ADI519000B,Shoulder/Lap Belt(s),F,511730c9-5b71-494c-9914-846e8ce0a215,Same Direction Rear End,Y,Non Intersection,Left Turn Lane,Dusk,No Defects,"Two-way, Divided, Positive Median Barrier",Ice,Wintry Mix,Twelve o'clock,Passenger Car,Functional,N,Skidding,2015.3.3 18:45,21,39.36198764,-76.6320312,0,2,눈길사고,미끌어짐에 의한 사고
591,N,Apparently Normal,No Misuse,N,No Injury,b998a7a5-d8c6-434b-95b9-0246978841c1,D,ADI519000B,Shoulder/Lap Belt(s),M,ead3f9ab-e466-4f7b-bd22-55008da746e6,Same Direction Rear End,Y,Non Intersection,Left Turn Lane,Dusk,No Defects,"Two-way, Divided, Positive Median Barrier",Ice,Wintry Mix,Six o'clock,Passenger Car,Functional,N,Stopped in Traffic Lane,2015.3.3 18:45,62,39.36198764,-76.6320312,0,1,눈길사고,등속 주행 사고
592,N,Apparently Normal,No Misuse,Y,No Injury,4c49dffd-fb93-4e96-ba8a-3e845b96cb1a,D,ADI5200001,Shoulder/Lap Belt(s),F,173c3058-7664-4b66-a807-240b38dee3df,Single Vehicle ,N,Intersection Related,Right Turn Lane,Daylight,No Defects,One-way Trafficway,Snow,Snow,Ten o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015.3.5 15:23,30,39.28639756,-76.6185075,0,0,눈길사고,감속 중 사고
